route,direction,variable,coef
UK-DE,Exports,ln_freight_index,-0.04975928002203633
UK-DE,Exports,ln_bunker,0.17649306502556875
UK-DE,Exports,ln_us_epu_index,0.0012632233564206189
UK-DE,Exports,congestion_dummy,-0.061564877790818706
UK-DE,Imports,ln_freight_index,-0.035488424354866425
UK-DE,Imports,ln_bunker,0.1512866034520729
UK-DE,Imports,ln_us_epu_index,-0.010057656142575732
UK-DE,Imports,congestion_dummy,-0.0371495629087064
UK-FR,Exports,ln_freight_index,-0.07473986417898311
UK-FR,Exports,ln_bunker,0.3541001842023348
UK-FR,Exports,ln_us_epu_index,0.04321642020213957
UK-FR,Exports,congestion_dummy,-0.09891915372564762
UK-FR,Imports,ln_freight_index,-0.08688978950901388
UK-FR,Imports,ln_bunker,0.31349163705776045
UK-FR,Imports,ln_us_epu_index,0.018360010675649494
UK-FR,Imports,congestion_dummy,-0.11017788980863379
UK-NL,Exports,ln_freight_index,-0.08090615058593394
UK-NL,Exports,ln_bunker,0.3562536022539156
UK-NL,Exports,ln_us_epu_index,0.020383515261082792
UK-NL,Exports,congestion_dummy,-0.10088309366903866
UK-NL,Imports,ln_freight_index,-0.07111136784115536
UK-NL,Imports,ln_bunker,0.2893840964332672
UK-NL,Imports,ln_us_epu_index,0.02500571250405085
UK-NL,Imports,congestion_dummy,-0.11404925250595442
